,Quarter,Tm,Detail,NWE,PHO
0,2.0,Patriots,Ben Coates 4 yard pass from Drew Bledsoe (Scott Sisson kick),7,0
1,2.0,Cardinals,Ricky Proehl 6 yard pass from Steve Beuerlein (Greg Davis kick),7,7
2,2.0,Cardinals,Ricky Proehl 15 yard pass from Steve Beuerlein (Greg Davis kick),7,14
3,2.0,Patriots,Scott Sisson 29 yard field goal,10,14
4,2.0,Patriots,Scott Sisson 23 yard field goal,13,14
5,3.0,Patriots,Scott Sisson 31 yard field goal,16,14
6,4.0,Cardinals,Randal Hill 30 yard pass from Steve Beuerlein (Greg Davis kick),16,21
7,4.0,Patriots,Ben Coates 2 yard pass from Scott Secules (Scott Sisson kick),23,21
