,Quarter,Tm,Detail,SEA,NWE
0,1.0,Patriots,Greg Davis 35 yard field goal,0,3
1,2.0,Seahawks,Louis Clark 27 yard pass from Dave Krieg (Norm Johnson kick),7,3
2,2.0,Seahawks,Paul Skansi 19 yard pass from Dave Krieg (Norm Johnson kick),14,3
3,2.0,Seahawks,John Williams 10 yard pass from Dave Krieg (Norm Johnson kick),21,3
4,3.0,Seahawks,Norm Johnson 23 yard field goal,24,3
