,Quarter,Tm,Detail,DEN,PHI
0,1.0,Broncos,"Safety, Tautalatasi fumbled out of end zone",2,0
1,1.0,Broncos,Rich Karlis 30 yard field goal,5,0
2,1.0,Broncos,Mike Harden 32 yard interception return (Rich Karlis kick),12,0
3,2.0,Broncos,Dave Studdard 2 yard pass from John Elway (Rich Karlis kick),19,0
4,2.0,Broncos,Sammy Winder 4 yard rush (Rich Karlis kick),26,0
5,3.0,Broncos,Sammy Winder 17 yard rush (Rich Karlis kick),33,0
6,3.0,Eagles,Kenny Jackson 29 yard pass from Randall Cunningham (Paul McFadden kick),33,7
