,Quarter,Time,Tm,Detail,TEN,HOU
0,1.0,7:29,Texans,Duke Johnson 1 yard rush (Ka'imi Fairbairn kick),0,7
1,1.0,5:45,Titans,A.J. Brown 51 yard pass from Ryan Tannehill (Greg Joseph kick),7,7
2,2.0,9:49,Titans,MyCole Pruitt 1 yard pass from Ryan Tannehill (Greg Joseph kick),14,7
3,3.0,10:11,Titans,Derrick Henry 3 yard rush (Greg Joseph kick),21,7
4,3.0,1:16,Texans,A.J. McCarron 1 yard rush (Ka'imi Fairbairn kick),21,14
5,4.0,14:08,Titans,Derrick Henry 1 yard rush (Greg Joseph kick),28,14
6,4.0,3:04,Titans,Derrick Henry 53 yard rush (Greg Joseph kick),35,14
