,Quarter,Time,Tm,Detail,NWE,CIN
0,1.0,9:17,Bengals,Shayne Graham 40 yard field goal,0,3
1,1.0,2:49,Bengals,Shayne Graham 45 yard field goal,0,6
2,2.0,8:38,Patriots,Laurence Maroney 11 yard rush (Stephen Gostkowski kick),7,6
3,2.0,1:54,Patriots,Doug Gabriel 25 yard pass from Tom Brady (Stephen Gostkowski kick),14,6
4,3.0,7:03,Bengals,Rudi Johnson 2 yard rush (Shayne Graham kick),14,13
5,3.0,4:27,Patriots,Laurence Maroney 25 yard rush (Stephen Gostkowski kick),21,13
6,4.0,14:45,Patriots,Stephen Gostkowski 24 yard field goal,24,13
7,4.0,11:15,Patriots,Corey Dillon 1 yard rush (Stephen Gostkowski kick),31,13
8,4.0,7:55,Patriots,Daniel Graham 3 yard pass from Tom Brady (Stephen Gostkowski kick),38,13
