,Quarter,Tm,Detail,ATL,TAM
0,1.0,Buccaneers,Phil Freeman 11 yard pass from Steve DeBerg (Donald Igwebuike kick),0,7
1,1.0,Buccaneers,Gerald Carter 6 yard pass from Steve DeBerg (Donald Igwebuike kick),0,14
2,2.0,Falcons,Mick Luckhurst 50 yard field goal,3,14
3,2.0,Buccaneers,Calvin Magee 11 yard pass from Steve DeBerg (Donald Igwebuike kick),3,21
4,2.0,Buccaneers,Gerald Carter 3 yard pass from Steve DeBerg,3,27
5,3.0,Buccaneers,Cliff Austin 1 yard rush (Donald Igwebuike kick),3,34
6,4.0,Buccaneers,Mark Carrier 2 yard pass from Steve DeBerg (Donald Igwebuike kick),3,41
7,4.0,Falcons,Stacey Bailey 34 yard pass from Scott Campbell (Mick Luckhurst kick),10,41
8,4.0,Buccaneers,Steve Bartalo 3 yard rush (Donald Igwebuike kick),10,48
