,Quarter,Tm,Detail,KAN,NWE
0,1.0,Patriots,Don Hasselbeck 13 yard pass from Matt Cavanaugh (John Smith kick),0,7
1,1.0,Chiefs,James Hadnot 1 yard rush (Nick Lowery kick),7,7
2,2.0,Patriots,Matt Cavanaugh 8 yard rush (John Smith kick),7,14
3,3.0,Chiefs,Nick Lowery 35 yard field goal,10,14
4,3.0,Patriots,John Smith 50 yard field goal,10,17
5,3.0,Patriots,Tony Collins 13 yard rush (John Smith kick),10,24
6,4.0,Chiefs,Joe Delaney 18 yard rush (Nick Lowery kick),17,24
7,4.0,Patriots,Stanley Morgan 66 yard pass from Andy Johnson,17,30
8,4.0,Patriots,John Smith 43 yard field goal,17,33
