,Quarter,Tm,Detail,DAL,SFO
0,1.0,49ers,Roger Craig 6 yard pass from Joe Montana (Ray Wersching kick),0,7
1,1.0,49ers,Dana McLemore 56 yard punt return (Ray Wersching kick),0,14
2,1.0,Cowboys,Rafael Septien 47 yard field goal,3,14
3,1.0,49ers,Freddie Solomon 77 yard pass from Joe Montana (Ray Wersching kick),3,21
4,2.0,Cowboys,Danny White 1 yard rush (Rafael Septien kick),10,21
5,3.0,49ers,Russ Francis 18 yard pass from Joe Montana (Ray Wersching kick),10,28
6,4.0,Cowboys,Tony Hill 13 yard pass from Danny White (Rafael Septien kick),17,28
7,4.0,49ers,Eric Wright 48 yard interception return (Ray Wersching kick),17,35
8,4.0,49ers,Roger Craig 16 yard pass from Joe Montana (Ray Wersching kick),17,42
