,Quarter,Time,Tm,Detail,SEA,DEN
0,1.0,,Broncos,Aaron Craver 2 yard rush (Jason Elam kick),0,7
1,1.0,,Broncos,Jason Elam 29 yard field goal,0,10
2,2.0,,Broncos,Anthony Miller 15 yard pass from John Elway (Jason Elam kick),0,17
3,2.0,,Broncos,Jason Elam 46 yard field goal,0,20
4,2.0,,Seahawks,Todd Peterson 36 yard field goal,3,20
5,3.0,,Seahawks,Antonio Edwards 83 yard defensive fumble return (Todd Peterson kick),10,20
6,4.0,,Seahawks,Chris Warren 24 yard rush (Todd Peterson kick),17,20
7,4.0,,Broncos,John Elway 1 yard rush (Jason Elam kick),17,27
8,4.0,,Seahawks,Joey Galloway 5 yard pass from John Friesz (Todd Peterson kick),24,27
9,4.0,,Seahawks,Chris Warren 20 yard pass from John Friesz (Todd Peterson kick),31,27
