,Quarter,Time,Tm,Detail,SFO,CAR
0,1.0,,49ers,Derek Loville 4 yard pass from Steve Young (Jeff Wilkins kick),7,0
1,2.0,,49ers,Derek Loville 1 yard rush (Jeff Wilkins kick),14,0
2,2.0,,Panthers,John Kasay 43 yard field goal,14,3
3,2.0,,49ers,J.J. Stokes 20 yard pass from Steve Young (Jeff Wilkins kick),21,3
4,3.0,,Panthers,Derrick Moore 2 yard rush (John Kasay kick),21,10
5,3.0,,49ers,Steve Young 1 yard rush (Jeff Wilkins kick),28,10
6,4.0,,49ers,Jeff Wilkins 20 yard field goal,31,10
