,Quarter,Time,Tm,Detail,DET,PIT
0,1.0,14:33,Steelers,Jason Gildon 27 yard defensive fumble return (Kris Brown kick),0,7
1,1.0,9:56,Lions,David Sloan 10 yard pass from Mike McMahon (Jason Hanson kick),7,7
2,1.0,2:39,Steelers,Matt Cushing 4 yard pass from Kordell Stewart (Kris Brown kick),7,14
3,2.0,13:35,Steelers,Kordell Stewart 2 yard rush (Kris Brown kick failed),7,20
4,2.0,3:28,Steelers,Hines Ward 5 yard pass from Kordell Stewart (Kris Brown kick),7,27
5,2.0,0:26,Lions,David Sloan 1 yard pass from Mike McMahon (Jason Hanson kick),14,27
6,3.0,11:56,Steelers,Kris Brown 37 yard field goal,14,30
7,3.0,8:46,Steelers,Plaxico Burress 19 yard pass from Kordell Stewart (Kris Brown kick),14,37
8,4.0,7:33,Steelers,Kris Brown 31 yard field goal,14,40
9,4.0,1:08,Steelers,Tommy Maddox 5 yard rush (Kris Brown kick),14,47
