,Quarter,Tm,Detail,MIN,TAM
0,1.0,Buccaneers,Kevin House 55 yard pass from Doug Williams (Garo Yepremian kick),0,7
1,3.0,Vikings,Rick Danmeier 45 yard field goal,3,7
2,3.0,Vikings,Rick Danmeier 25 yard field goal,6,7
3,4.0,Buccaneers,Doug Williams 10 yard rush (Garo Yepremian kick),6,14
4,4.0,Vikings,Joe Senser 4 yard pass from Steve Dils (Rick Danmeier kick),13,14
5,4.0,Buccaneers,Neal Colzie 82 yard interception return (Garo Yepremian kick),13,21
