,Quarter,Tm,Detail,CLE,CHI
0,1.0,Bulldogs,Carl Bacchus 16 yard pass from Benny Friedman,6,0
1,1.0,Bears,"Safety,",6,2
2,2.0,Bears,Bill Senn unknown yard rush,6,8
3,3.0,Bears,Milt Romney 4 yard rush,6,14
4,4.0,Bulldogs,Jim Simmons 5 yard rush,12,14
