,Quarter,Tm,Detail,CLE,BAL
0,1.0,Browns,Charles White 5 yard rush (Don Cockroft kick),7,0
1,1.0,Browns,Dave Logan 39 yard pass from Brian Sipe (Don Cockroft kick),14,0
2,2.0,Colts,Reese McCall 23 yard pass from Bert Jones,14,6
3,2.0,Browns,Charles White 5 yard rush (Don Cockroft kick),21,6
4,3.0,Colts,Curtis Dickey 5 yard rush (Steve Mike-Mayer kick),21,13
5,4.0,Browns,Greg Pruitt 12 yard pass from Brian Sipe (Don Cockroft kick),28,13
6,4.0,Colts,Reese McCall 2 yard pass from Bert Jones (Steve Mike-Mayer kick),28,20
7,4.0,Colts,Don McCauley 5 yard pass from Bert Jones (Steve Mike-Mayer kick),28,27
