,Quarter,Tm,Detail,NOR,NYJ
0,1,Saints,Sam Mills 76 yard defensive fumble return (Morten Andersen kick),7,0
1,2,Saints,Morten Andersen 27 yard field goal,10,0
2,3,Saints,Craig Heyward 2 yard rush (Morten Andersen kick),17,0
3,4,Saints,Morten Andersen 36 yard field goal,20,0
