,Quarter,Time,Tm,Detail,NYG,IND
0,1.0,8:16,Colts,Donald Brown 7 yard rush (Adam Vinatieri kick),0,7
1,2.0,9:33,Colts,Dallas Clark 50 yard pass from Peyton Manning (Adam Vinatieri kick),0,14
2,2.0,5:00,Colts,Adam Vinatieri 38 yard field goal,0,17
3,2.0,0:09,Colts,Austin Collie 3 yard pass from Peyton Manning (Adam Vinatieri kick),0,24
4,3.0,10:44,Giants,Mario Manningham 54 yard pass from Eli Manning (Lawrence Tynes kick),7,24
5,3.0,6:27,Colts,Fili Moala 1 yard defensive fumble return (Adam Vinatieri kick),7,31
6,4.0,9:11,Colts,Reggie Wayne 10 yard pass from Peyton Manning (Adam Vinatieri kick),7,38
7,4.0,1:46,Giants,Hakeem Nicks 31 yard pass from Eli Manning (Lawrence Tynes kick),14,38
