,Quarter,Tm,Detail,DET,CRD
0,1.0,Lions,Art Van Tone 19 yard pass from Bob Westfall (Frankie Sinkwich kick),7,0
1,1.0,Lions,Bob Westfall 15 yard pass from Frankie Sinkwich (Frankie Sinkwich kick),14,0
2,1.0,Lions,Frankie Sinkwich 5 yard rush (Frankie Sinkwich kick),21,0
3,3.0,Lions,Art Van Tone 10 yard pass from Frankie Sinkwich,27,0
4,4.0,Cards/Steelers,Tony Bova 8 yard pass from John Grigas,27,6
