,Quarter,Tm,Detail,SFO,NYG
0,1.0,Giants,Mark Bavaro 24 yard pass from Phil Simms (Raul Allegre kick),0,7
1,1.0,49ers,Ray Wersching 26 yard field goal,3,7
2,2.0,Giants,Joe Morris 45 yard rush (Raul Allegre kick),3,14
3,2.0,Giants,Bobby Johnson 15 yard pass from Phil Simms (Raul Allegre kick),3,21
4,2.0,Giants,Lawrence Taylor 34 yard interception return (Raul Allegre kick),3,28
5,3.0,Giants,Phil McConkey 28 yard pass from Phil Simms (Raul Allegre kick),3,35
6,3.0,Giants,Zeke Mowatt 29 yard pass from Phil Simms (Raul Allegre kick),3,42
7,3.0,Giants,Joe Morris 2 yard rush (Raul Allegre kick),3,49
