,Quarter,Tm,Detail,RAM,SFO
0,1.0,49ers,Mike Cofer 23 yard field goal,0,3
1,2.0,Rams,Damone Johnson 16 yard pass from Jim Everett (Mike Lansford kick),7,3
2,2.0,49ers,Tom Rathman 1 yard rush (Mike Cofer kick),7,10
3,2.0,Rams,Henry Ellard 9 yard pass from Jim Everett (Mike Lansford kick),14,10
4,2.0,Rams,Greg Bell 1 yard rush (Mike Lansford kick),21,10
5,2.0,49ers,Mike Cofer 46 yard field goal,21,13
6,3.0,Rams,Damone Johnson 11 yard pass from Jim Everett (Mike Lansford kick),28,13
7,3.0,Rams,Mike Lansford 49 yard field goal,31,13
8,4.0,Rams,Damone Johnson 5 yard pass from Jim Everett (Mike Lansford kick),38,13
9,4.0,49ers,Mike Cofer 36 yard field goal,38,16
