,Quarter,Tm,Detail,CHI,PIT
0,1.0,Steelers,Mike Clark 41 yard field goal,0,3
1,1.0,Bears,Gale Sayers 103 yard kickoff return,6,3
2,1.0,Bears,Rosey Taylor 37 yard defensive fumble return (Mac Percival kick),13,3
3,1.0,Steelers,John Hilton 43 yard pass from Bill Nelsen (Mike Clark kick),13,10
4,2.0,Steelers,Willie Asbury 1 yard rush (Mike Clark kick),13,17
5,3.0,Steelers,Charlie Bivins 2 yard rush (Mike Clark kick),13,24
6,3.0,Steelers,Mike Clark 39 yard field goal,13,27
7,3.0,Steelers,Willie Asbury 1 yard rush (Mike Clark kick),13,34
8,4.0,Steelers,Dick Compton 6 yard pass from Bill Nelsen (Mike Clark kick),13,41
