,Quarter,Tm,Detail,NYG,SFO
0,1.0,49ers,Clyde Conner 3 yard pass from Y.A. Tittle (Tommy Davis kick),0,7
1,1.0,49ers,Joe Perry 1 yard rush (Tommy Davis kick),0,14
2,2.0,Giants,Kyle Rote 5 yard pass from Charlie Conerly (Pat Summerall kick),7,14
3,3.0,Giants,Mel Triplett 1 yard rush (Pat Summerall kick),14,14
4,3.0,49ers,Tommy Davis 30 yard field goal,14,17
5,4.0,Giants,Mel Triplett 24 yard pass from George Shaw (Pat Summerall kick),21,17
6,4.0,49ers,"Safety, Conerly tackled in end zone by Nomellini",21,19
