,Quarter,Tm,Detail,BAL,CIN
0,1.0,Bengals,Ken Anderson 9 yard rush (Horst Muhlmann kick),0,7
1,2.0,Colts,Jim O'Brien 31 yard field goal,3,7
2,2.0,Colts,Jim O'Brien 40 yard pass from Marty Domres (Boris Shlapak kick),10,7
3,2.0,Bengals,Horst Muhlmann 40 yard field goal,10,10
4,3.0,Bengals,Horst Muhlmann 25 yard field goal,10,13
5,4.0,Colts,Lydell Mitchell 11 yard rush (Jim O'Brien kick),17,13
6,4.0,Bengals,Doug Dressler 1 yard rush,17,19
7,4.0,Colts,Jim O'Brien 26 yard field goal,20,19
