,Quarter,Tm,Detail,RAM,CIN
0,1.0,Bengals,Doug Pelfrey 43 yard field goal,0,3
1,2.0,Bengals,Derrick Fenner 1 yard rush,0,9
2,2.0,Rams,Tony Zendejas 32 yard field goal,3,9
3,3.0,Bengals,Doug Pelfrey 28 yard field goal,3,12
4,4.0,Bengals,Doug Pelfrey 25 yard field goal,3,15
