,Quarter,Time,Tm,Detail,PIT,JAX
0,1.0,8:51,Steelers,Kris Brown 40 yard field goal,3,0
1,2.0,2:00,Jaguars,Mike Hollis 25 yard field goal,3,3
2,2.0,0:00,Jaguars,Mike Hollis 32 yard field goal,3,6
3,3.0,9:42,Steelers,Kris Brown 39 yard field goal,6,6
4,3.0,6:05,Jaguars,Jimmy Smith 27 yard pass from Mark Brunell (Mike Hollis kick),6,13
5,4.0,8:06,Jaguars,James Stewart 1 yard rush (Mike Hollis kick),6,20
