,Quarter,Tm,Detail,GNB,BAL
0,1.0,Packers,Elijah Pitts 42 yard pass from Bart Starr (Don Chandler kick),7,0
1,2.0,Colts,Tony Lorick 1 yard rush (Lou Michaels kick),7,7
2,2.0,Colts,Lou Michaels 26 yard field goal,7,10
3,4.0,Packers,Elijah Pitts 2 yard rush (Don Chandler kick),14,10
