,Quarter,Tm,Detail,NWE,HOU
0,1.0,Patriots,Larry Linne 27 yard pass from Doug Flutie (Tony Franklin kick),7,0
1,1.0,Oilers,Oliver Williams 36 yard pass from Brent Pease (Tony Zendejas kick),7,7
2,1.0,Patriots,Michael LeBlanc 3 yard rush (Tony Franklin kick),14,7
3,2.0,Patriots,Raymond Clayborn 71 yard blocked field goal return (Tony Franklin kick),21,7
