,Quarter,Tm,Detail,SEA,WAS
0,1.0,Seahawks,Curt Warner 2 yard rush (Norm Johnson kick),7,0
1,1.0,Redskins,George Rogers 24 yard rush,7,6
2,2.0,Redskins,Steve Cox 57 yard field goal,7,9
3,3.0,Redskins,George Rogers 7 yard rush (Mark Moseley kick),7,16
4,4.0,Redskins,Mark Moseley 36 yard field goal,7,19
5,4.0,Seahawks,Steve Largent 11 yard pass from Dave Krieg (Norm Johnson kick),14,19
