,Quarter,Time,Tm,Detail,ARI,PHI
0,2,,Eagles,Ricky Watters 2 yard rush (Chris Boniol kick),0,7
1,3,,Cardinals,Joe Nedney 23 yard field goal,3,7
2,4,,Cardinals,Kevin Williams 31 yard pass from Jake Plummer (Joe Nedney kick),10,7
3,4,,Eagles,Chris Boniol 38 yard field goal,10,10
4,OT,,Eagles,Chris Boniol 24 yard field goal,10,13
