,Quarter,Tm,Detail,DEN,OAK
0,1.0,Raiders,Chip Oliver 29 yard interception return (George Blanda kick),0,7
1,2.0,Broncos,Fran Lynch 1 yard rush (Bobby Howfield kick),7,7
2,2.0,Raiders,Fred Biletnikoff 53 yard pass from Daryle Lamonica (George Blanda kick),7,14
3,2.0,Raiders,Charlie Smith 11 yard pass from George Blanda (George Blanda kick),7,21
4,3.0,Raiders,Fred Biletnikoff 28 yard pass from Daryle Lamonica (George Blanda kick),7,28
5,3.0,Raiders,George Blanda 45 yard field goal,7,31
6,3.0,Broncos,Bobby Howfield 21 yard field goal,10,31
7,4.0,Raiders,Fred Biletnikoff 15 yard pass from Daryle Lamonica (George Blanda kick),10,38
8,4.0,Raiders,George Blanda 18 yard field goal,10,41
