,Quarter,Time,Tm,Detail,MIN,GNB
0,1.0,,Vikings,Robert Smith 1 yard rush (Greg Davis kick),7,0
1,1.0,,Packers,Robert Brooks 19 yard pass from Brett Favre (Ryan Longwell kick),7,7
2,2.0,,Packers,Antonio Freeman 28 yard pass from Brett Favre (Ryan Longwell kick),7,14
3,2.0,,Packers,Antonio Freeman 15 yard pass from Brett Favre (Ryan Longwell kick),7,21
4,2.0,,Packers,Terry Mickens 2 yard pass from Brett Favre (Ryan Longwell kick),7,28
5,2.0,,Packers,Ryan Longwell 34 yard field goal,7,31
6,3.0,,Vikings,Cris Carter 3 yard pass from Brad Johnson (Greg Davis kick),14,31
7,3.0,,Vikings,Jake Reed 7 yard pass from Brad Johnson (Charles Evans run),22,31
8,3.0,,Packers,Mark Chmura 2 yard pass from Brett Favre (Ryan Longwell kick),22,38
9,4.0,,Vikings,Greg Davis 31 yard field goal,25,38
10,4.0,,Vikings,Jake Reed 27 yard pass from Brad Johnson (Greg Davis kick),32,38
