,Quarter,Time,Tm,Detail,PIT,KAN
0,2.0,,Chiefs,Marcus Allen 6 yard rush (Pete Stoyanovich kick),0,7
1,2.0,,Steelers,Norm Johnson 21 yard field goal,3,7
2,2.0,,Steelers,Norm Johnson 32 yard field goal,6,7
3,3.0,,Steelers,Jerome Bettis 5 yard rush (Mark Bruener pass from Mike Tomczak),14,7
4,4.0,,Steelers,Norm Johnson 43 yard field goal,17,7
