,Quarter,Tm,Detail,NWE,CIN
0,1.0,Bengals,Harold Green 6 yard rush (Jim Breech kick),0,7
1,1.0,Bengals,Derrick Fenner 1 yard rush (Jim Breech kick),0,14
2,1.0,Patriots,Jon Vaughn 100 yard kickoff return (Charlie Baumann kick),7,14
3,3.0,Bengals,Jim Breech 21 yard field goal,7,17
4,4.0,Patriots,Charlie Baumann 27 yard field goal,10,17
5,4.0,Bengals,Jim Breech 39 yard field goal,10,20
