,Quarter,Tm,Detail,RAM,SEA
0,1.0,Rams,Wendell Tyler 3 yard rush (Frank Corral kick),7,0
1,1.0,Rams,Charle Young 1 yard pass from Pat Haden (Frank Corral kick),14,0
2,2.0,Rams,Drew Hill 17 yard pass from Pat Haden (Frank Corral kick),21,0
3,3.0,Rams,Frank Corral 23 yard field goal,24,0
