,Quarter,Tm,Detail,SEA,WAS
0,2,Seahawks,Jim Zorn 21 yard rush (Efren Herrera kick),7,0
1,4,Seahawks,Dan Doornink 8 yard rush (Efren Herrera kick),14,0
