,Quarter,Time,Tm,Detail,CHI,MIN
0,1.0,9:10,Bears,Sean Harris defensive fumble recovery in end zone (Jeff Jaeger kick),7,0
1,1.0,3:04,Vikings,Gary Anderson 26 yard field goal,7,3
2,2.0,14:52,Vikings,Gary Anderson 40 yard field goal,7,6
3,2.0,6:20,Vikings,Gary Anderson 23 yard field goal,7,9
4,2.0,1:13,Bears,Curtis Conway 30 yard pass from Shane Matthews (Jeff Jaeger kick),14,9
5,2.0,0:00,Vikings,Gary Anderson 26 yard field goal,14,12
6,3.0,7:47,Bears,Marcus Robinson 3 yard pass from Shane Matthews (Jeff Jaeger kick),21,12
7,3.0,2:31,Vikings,Gary Anderson 34 yard field goal,21,15
8,4.0,12:21,Bears,Jeff Jaeger 41 yard field goal,24,15
9,4.0,0:02,Vikings,Chris Walsh 18 yard pass from Randall Cunningham (Gary Anderson kick),24,22
