,Quarter,Tm,Detail,DAL,CHI
0,1.0,Bears,Roger LeClerc 12 yard field goal,0,3
1,1.0,Cowboys,Don Perkins 2 yard rush (Dick Van Raaphorst kick),7,3
2,2.0,Cowboys,Jim Stiger 31 yard pass from Don Meredith (Dick Van Raaphorst kick),14,3
3,2.0,Cowboys,Dick Van Raaphorst 41 yard field goal,17,3
4,4.0,Cowboys,Don Meredith 1 yard rush (Dick Van Raaphorst kick),24,3
5,4.0,Bears,Joe Marconi 1 yard rush (Bob Jencks kick),24,10
