,Quarter,Tm,Detail,BUF,NYJ
0,2.0,Jets,Pat Leahy 25 yard field goal,0,3
1,2.0,Bills,Bob Chandler 5 yard pass from Joe Ferguson (Carson Long kick),7,3
2,4.0,Jets,Wesley Walker 9 yard pass from Richard Todd (Pat Leahy kick),7,10
3,4.0,Bills,Bob Chandler 11 yard pass from Joe Ferguson (Carson Long kick),14,10
