,Quarter,Tm,Detail,HOU,DET
0,1.0,Oilers,Tony Zendejas 25 yard field goal,3,0
1,2.0,Lions,James Jones 1 yard rush (Eddie Murray kick),3,7
2,2.0,Lions,James Jones 1 yard rush (Eddie Murray kick),3,14
3,2.0,Oilers,Drew Hill 81 yard pass from Warren Moon (Tony Zendejas kick),10,14
4,2.0,Lions,Herman Hunter 18 yard pass from Eric Hipple (Eddie Murray kick),10,21
5,2.0,Oilers,Tony Zendejas 19 yard field goal,13,21
6,4.0,Lions,Eddie Murray 48 yard field goal,13,24
