,Quarter,Tm,Detail,SEA,CHI
0,1,Bears,Kevin Butler 47 yard field goal,0,3
1,2,Bears,Neal Anderson 17 yard rush (Kevin Butler kick),0,10
2,4,Bears,Neal Anderson 4 yard rush (Kevin Butler kick),0,17
