,Quarter,Tm,Detail,STL,PHI
0,1.0,Eagles,Charlie Smith 48 yard pass from Mike Boryla (Horst Muhlmann kick),0,7
1,3.0,Cardinals,Steve Jones 2 yard rush (Jim Bakken kick),7,7
2,3.0,Cardinals,Wayne Morris 7 yard rush (Jim Bakken kick),14,7
3,4.0,Eagles,Dave Hampton 6 yard rush (Horst Muhlmann kick),14,14
4,4.0,Cardinals,Jim Bakken 20 yard field goal,17,14
