,Quarter,Tm,Detail,DAL,DEN
0,1.0,Cowboys,Jean Fugett 6 yard pass from Roger Staubach (Toni Fritsch kick),7,0
1,2.0,Cowboys,Toni Fritsch 21 yard field goal,10,0
2,3.0,Cowboys,Toni Fritsch 18 yard field goal,13,0
3,3.0,Broncos,Jim Turner 29 yard field goal,13,3
4,4.0,Cowboys,Jean Fugett 27 yard pass from Roger Staubach (Toni Fritsch kick),20,3
5,4.0,Cowboys,"Safety, B. Barnes tackled Van Heusen in end zone",22,3
6,4.0,Broncos,Riley Odoms 16 yard pass from Charley Johnson (Jim Turner kick),22,10
