,Quarter,Tm,Detail,ATL,DEN
0,2.0,Broncos,Mark Jackson 14 yard pass from John Elway (Rich Karlis kick),0,7
1,2.0,Falcons,John Settle 1 yard rush (Greg Davis kick),7,7
2,3.0,Broncos,Sammy Winder 1 yard rush (Rich Karlis kick),7,14
3,3.0,Broncos,Rich Karlis 47 yard field goal,7,17
4,4.0,Falcons,John Settle 1 yard pass from Steve Dils (Greg Davis kick),14,17
5,4.0,Broncos,Rich Karlis 41 yard field goal,14,20
6,4.0,Broncos,Steve Sewell 68 yard pass from Gary Kubiak (Rich Karlis kick),14,27
7,4.0,Broncos,Rich Karlis 50 yard field goal,14,30
