,Quarter,Time,Tm,Detail,GNB,TEN
0,1.0,11:37,Titans,"Safety,",0,2
1,1.0,5:27,Packers,Ryan Longwell 33 yard field goal,3,2
2,1.0,1:19,Packers,Donald Driver 7 yard pass from Brett Favre (Ryan Longwell kick),10,2
3,2.0,11:30,Titans,Mike Green 4 yard pass from Steve McNair (pass failed),10,8
4,2.0,2:36,Titans,Derrick Mason 35 yard pass from Steve McNair (Joe Nedney kick),10,15
5,2.0,0:00,Packers,Ryan Longwell 54 yard field goal,13,15
6,3.0,1:15,Titans,Joe Nedney 24 yard field goal,13,18
7,4.0,10:42,Titans,Skip Hicks 22 yard rush (Derrick Mason pass from Steve McNair),13,26
8,4.0,6:42,Packers,Bill Schroeder 16 yard pass from Brett Favre (Ryan Longwell kick),20,26
