,Quarter,Tm,Detail,OAK,RAM
0,1.0,Rams,Wendell Tyler 1 yard rush (Frank Corral kick),0,7
1,2.0,Rams,Willie Miller 17 yard pass from Pat Haden (Frank Corral kick),0,14
2,2.0,Raiders,Jim Breech 38 yard field goal,3,14
3,2.0,Raiders,Derrick Ramsey 1 yard pass from Ken Stabler (Jim Breech kick),10,14
4,2.0,Rams,Frank Corral 46 yard field goal,10,17
5,3.0,Raiders,Raymond Chester 27 yard pass from Ken Stabler (Jim Breech kick),17,17
6,3.0,Raiders,Raymond Chester 4 yard pass from Ken Stabler (Jim Breech kick),24,17
