,Quarter,Time,Tm,Detail,KAN,DEN
0,1.0,11:17,Chiefs,Mike Cox 1 yard rush (Ryan Succop kick),7,0
1,2.0,14:07,Broncos,Knowshon Moreno 1 yard rush (Matt Prater kick),7,7
2,2.0,5:03,Chiefs,Ryan Succop 20 yard field goal,10,7
3,2.0,0:27,Broncos,Matt Prater 25 yard field goal,10,10
4,3.0,10:35,Chiefs,Jamaal Charles 5 yard rush (Ryan Succop kick),17,10
5,3.0,8:25,Broncos,Knowshon Moreno 1 yard rush (Matt Prater kick),17,17
6,3.0,5:39,Chiefs,Ryan Succop 36 yard field goal,20,17
7,3.0,5:16,Chiefs,Derrick Johnson 45 yard interception return (Ryan Succop kick),27,17
8,3.0,0:12,Broncos,Brandon Stokley 3 yard pass from Kyle Orton (Matt Prater kick),27,24
9,4.0,12:57,Chiefs,Ryan Succop 47 yard field goal,30,24
10,4.0,9:52,Chiefs,Derrick Johnson 60 yard interception return (Ryan Succop kick),37,24
11,4.0,6:25,Chiefs,Jamaal Charles 56 yard rush (Ryan Succop kick),44,24
