,Quarter,Time,Tm,Detail,KAN,OAK
0,1.0,,Raiders,Tim Brown 13 yard pass from Wade Wilson (Greg Davis kick),0,7
1,1.0,,Raiders,Randy Jordan 10 yard rush (Greg Davis kick),0,14
2,2.0,,Chiefs,Bam Morris 1 yard rush (Pete Stoyanovich kick),7,14
3,3.0,,Chiefs,Bam Morris 1 yard rush (Pete Stoyanovich kick),14,14
4,3.0,,Raiders,Greg Davis 44 yard field goal,14,17
5,3.0,,Chiefs,Pete Stoyanovich 30 yard field goal,17,17
6,3.0,,Chiefs,Derrick Thomas 44 yard defensive fumble return (Pete Stoyanovich kick),24,17
7,4.0,,Raiders,James Jett 15 yard pass from Jeff George (Greg Davis kick),24,24
8,4.0,,Chiefs,Tony Gonzalez 20 yard pass from Elvis Grbac (Pete Stoyanovich kick),31,24
