,Quarter,Tm,Detail,MIN,BAL
0,2.0,Colts,Tom Mitchell 3 yard pass from Earl Morrall (Lou Michaels kick),0,7
1,3.0,Colts,John Mackey 49 yard pass from Earl Morrall (Lou Michaels kick),0,14
2,3.0,Colts,Mike Curtis 60 yard defensive fumble return (Lou Michaels kick),0,21
3,4.0,Vikings,Bill Martin 1 yard pass from Joe Kapp (Fred Cox kick),7,21
4,4.0,Colts,Lou Michaels 33 yard field goal,7,24
5,4.0,Vikings,Bill Brown 7 yard pass from Joe Kapp (Fred Cox kick),14,24
