,Quarter,Tm,Detail,NOR,RAM
0,1.0,Rams,Wendell Tyler 1 yard rush (Frank Corral kick),0,7
1,2.0,Saints,Tinker Owens 8 yard pass from Archie Manning (Garo Yepremian kick),7,7
2,2.0,Saints,Mike Strachan 10 yard rush (Garo Yepremian kick),14,7
3,3.0,Saints,Garo Yepremian 35 yard field goal,17,7
4,3.0,Saints,Garo Yepremian 24 yard field goal,20,7
5,4.0,Saints,Mike Strachan 1 yard rush (Garo Yepremian kick),27,7
6,4.0,Rams,Eddie Hill 1 yard rush (Frank Corral kick),27,14
7,4.0,Saints,"Safety, Grooms tackled Ferragamo in end zone",29,14
