,Quarter,Tm,Detail,PIT,BKN
0,1.0,Dodgers,Merl Condit 6 yard rush (Merl Condit kick),0,7
1,1.0,Dodgers,Merl Condit 43 yard rush (Merl Condit kick),0,14
2,2.0,Dodgers,George Kracum 1 yard rush (Dean McAdams kick),0,21
3,2.0,Steelers,Art Jones 6 yard rush (Armand Niccolai kick),7,21
4,3.0,Dodgers,Rhoten Shetley 25 yard pass from Ace Parker (Merl Condit kick),7,28
5,4.0,Dodgers,George Kracum 17 yard rush (Larry Peace kick),7,35
