,Quarter,Tm,Detail,CHI,KAN
0,1.0,Chiefs,Marcus Allen 2 yard rush (Nick Lowery kick),0,7
1,2.0,Chiefs,Marcus Allen 8 yard rush (Nick Lowery kick),0,14
2,2.0,Bears,Kevin Butler 32 yard field goal,3,14
3,2.0,Bears,Kevin Butler 45 yard field goal,6,14
4,3.0,Bears,Tim Worley 25 yard rush,12,14
5,3.0,Chiefs,Nick Lowery 20 yard field goal,12,17
6,4.0,Bears,Neal Anderson 1 yard rush (Kevin Butler kick),19,17
