,Quarter,Time,Tm,Detail,SFO,NOR
0,2.0,,49ers,Jerry Rice 50 yard pass from Steve Young (Doug Brien kick),7,0
1,2.0,,49ers,Tim McDonald 52 yard interception return (Doug Brien kick),14,0
2,2.0,,Saints,Sean Lumpkin 47 yard interception return,14,6
3,2.0,,49ers,Doug Brien 28 yard field goal,17,6
4,2.0,,Saints,Chip Lohmiller 51 yard field goal,17,9
5,3.0,,49ers,William Floyd 4 yard pass from Steve Young (Doug Brien kick),24,9
6,3.0,,Saints,Quinn Early 28 yard pass from Jim Everett (pass failed),24,15
7,4.0,,Saints,Michael Haynes 29 yard pass from Jim Everett (Chip Lohmiller kick),24,22
