,Quarter,Tm,Detail,CAN,CHI
0,1.0,Bears,Duke Hanny unknown yard pass from Paddy Driscoll (Paddy Driscoll kick),0,7
1,2.0,Bears,Milt Romney 5 yard rush (Paddy Driscoll kick),0,14
2,3.0,Bears,Bill Senn 2 yard rush (Bill Senn kick),0,21
3,4.0,Bears,Bill Senn 45 yard rush (Bill Buckler kick),0,28
4,4.0,Bears,Milt Romney 31 yard rush (Dutch Sternaman kick),0,35
