,Quarter,Tm,Detail,BAL,SFO
0,1.0,49ers,Ken Willard 7 yard pass from Steve Spurrier (Bruce Gossett kick),0,7
1,1.0,Colts,Nelson Munsey 3 yard special teams fumble return (Jim O'Brien kick),7,7
2,2.0,49ers,Larry Schreiber 8 yard rush (Bruce Gossett kick),7,14
3,3.0,49ers,Bruce Gossett 44 yard field goal,7,17
4,4.0,Colts,Don McCauley 4 yard rush (Boris Shlapak kick),14,17
5,4.0,49ers,Ted Kwalick 25 yard pass from Steve Spurrier (Bruce Gossett kick),14,24
6,4.0,Colts,Sam Havrilak 62 yard pass from Marty Domres (Boris Shlapak kick),21,24
