,Quarter,Tm,Detail,WAS,CLE
0,1.0,Redskins,Jerry Smith 6 yard pass from Sonny Jurgensen (Curt Knight kick),7,0
1,2.0,Browns,Ron Johnson 1 yard rush (Don Cockroft kick),7,7
2,2.0,Browns,Don Cockroft 41 yard field goal,7,10
3,3.0,Redskins,Curt Knight 32 yard field goal,10,10
4,3.0,Browns,Ron Johnson 17 yard rush (Don Cockroft kick),10,17
5,4.0,Browns,Don Cockroft 23 yard field goal,10,20
6,4.0,Redskins,Charlie Harraway 1 yard rush,16,20
7,4.0,Redskins,Bob Long 13 yard pass from Sonny Jurgensen (Curt Knight kick),23,20
8,4.0,Browns,Gary Collins 15 yard pass from Bill Nelsen (Don Cockroft kick),23,27
