,Quarter,Time,Tm,Detail,ARI,HOU
0,1.0,,Oilers,"Safety, Lathon tackled Schroeder in end zone",0,2
1,1.0,,Oilers,Cris Dishman 36 yard interception return (Al Del Greco kick),0,9
2,2.0,,Cardinals,Larry Centers 1 yard rush (Greg Davis kick),7,9
3,2.0,,Cardinals,Greg Davis 25 yard field goal,10,9
4,2.0,,Oilers,Al Del Greco 34 yard field goal,10,12
5,4.0,2:57,Cardinals,Gary Clark 13 yard pass from Jay Schroeder (Ronald Moore run),18,12
6,4.0,2:57,Cardinals,Greg Davis 23 yard field goal,21,12
7,4.0,2:57,Cardinals,Larry Centers 4 yard rush (Greg Davis kick),28,12
8,4.0,2:57,Cardinals,"Safety, Swann tackled Tolliver in end zone",30,12
