,Quarter,Tm,Detail,CRD,GNB
0,1.0,Packers,Clarke Hinkle 5 yard rush (Don Hutson kick),0,7
1,1.0,Cardinals,Johnny Hall 80 yard pass from Ray Mallouf,6,7
2,2.0,Cardinals,Marshall Goldberg 76 yard pass from Johnny Clement (Lou Zontini kick),13,7
3,4.0,Packers,Lou Brock 4 yard pass from Cecil Isbell (Don Hutson kick),13,14
