,Quarter,Tm,Detail,CLE,NYG
0,1.0,Giants,Dick Lynch 16 yard interception return (Pat Summerall kick),0,7
1,1.0,Giants,Kyle Rote 23 yard pass from Charlie Conerly (Pat Summerall kick),0,14
2,1.0,Browns,Ray Renfro 31 yard pass from Milt Plum (Sam Baker kick),7,14
3,2.0,Giants,Pat Summerall 11 yard field goal,7,17
4,2.0,Browns,Bobby Mitchell 69 yard pass from Milt Plum (Sam Baker kick),14,17
5,2.0,Giants,Pat Summerall 31 yard field goal,14,20
6,2.0,Browns,Bobby Mitchell 7 yard pass from Milt Plum (Sam Baker kick),21,20
7,2.0,Giants,Kyle Rote 18 yard pass from Charlie Conerly (Pat Summerall kick),21,27
8,3.0,Giants,Bob Schnelker 70 yard pass from Charlie Conerly (Pat Summerall kick),21,34
9,4.0,Browns,Jim Brown 37 yard pass from Milt Plum (Sam Baker kick),28,34
10,4.0,Browns,Paul Wiggin 20 yard interception return (Sam Baker kick),35,34
11,4.0,Browns,Jim Brown 11 yard rush (Sam Baker kick),42,34
12,4.0,Browns,Bob Gain 22 yard interception return (run failed),48,34
