,Quarter,Time,Tm,Detail,WAS,NYG
0,1.0,,Giants,Brad Daluiso 41 yard field goal,0,3
1,1.0,,Giants,Charles Way 15 yard rush (Brad Daluiso kick),0,10
2,1.0,,Giants,Chris Calloway 7 yard pass from Danny Kanell (Brad Daluiso kick),0,17
3,2.0,,Redskins,Scott Blanton 33 yard field goal,3,17
4,2.0,,Giants,Brad Daluiso 28 yard field goal,3,20
5,3.0,,Redskins,Albert Connell 41 yard pass from Jeff Hostetler (Scott Blanton kick),10,20
6,4.0,,Giants,Brad Daluiso 28 yard field goal,10,23
7,4.0,,Giants,Jason Sehorn 35 yard interception return (Brad Daluiso kick),10,30
