,Quarter,Time,Tm,Detail,CLE,KAN
0,2.0,,Chiefs,Tracy Greene 6 yard pass from Joe Montana (Lin Elliott kick),0,7
1,2.0,,Browns,Eric Metcalf 15 yard pass from Vinny Testaverde (run failed),6,7
2,3.0,,Chiefs,Lin Elliott 22 yard field goal,6,10
3,3.0,,Browns,Michael Jackson 15 yard pass from Mark Rypien (Matt Stover kick),13,10
4,4.0,,Chiefs,Lin Elliott 28 yard field goal,13,13
5,4.0,,Chiefs,Kimble Anders 1 yard rush (Lin Elliott kick),13,20
