,Quarter,Tm,Detail,CRD,SIS
0,1.0,Stapletons,Ken Strong unknown yard rush (Ken Strong kick),0,7
1,1.0,Stapletons,Bob Campiglio 26 yard pass from Oran Pape (Stu Wilson kick),0,14
2,3.0,Cardinals,Chuck Kassel 35 yard pass from Walt Holmer (Walt Holmer kick),7,14
3,4.0,Stapletons,Bob Campiglio unknown yard rush (Stu Wilson kick),7,21
