,Quarter,Tm,Detail,WAS,BOS
0,2.0,Redskins,Steve Bagarus 6 yard pass from Sammy Baugh,6,0
1,2.0,Yanks/Tigers,Pug Manders 2 yard rush (Augie Lio kick),6,7
2,2.0,Yanks/Tigers,Don Currivan 43 yard pass from Scott Gudmundson (Augie Lio kick),6,14
3,3.0,Redskins,Frank Akins 7 yard rush (Joe Aguirre kick),13,14
4,3.0,Yanks/Tigers,Ned Mathews 23 yard pass from Bob Davis (Augie Lio kick),13,21
5,4.0,Yanks/Tigers,John Grigas 11 yard rush (Augie Lio kick),13,28
6,4.0,Redskins,Bob Seymour 27 yard pass from Sammy Baugh (Joe Aguirre kick),20,28
