,Quarter,Time,Tm,Detail,ATL,NYJ
0,1.0,6:36,Falcons,Matt Bryant 24 yard field goal,3,0
1,1.0,2:48,Jets,Braylon Edwards 65 yard pass from Mark Sanchez (Jay Feely kick),3,7
2,4.0,1:38,Falcons,Tony Gonzalez 6 yard pass from Matt Ryan (Matt Bryant kick),10,7
