,Quarter,Tm,Detail,OOR,MIL
0,3.0,Badgers,Ben Winkelman 40 yard interception return (Jimmy Conzelman kick),0,7
1,3.0,Badgers,Jimmy Conzelman unknown yard rush,0,13
2,3.0,Indians,"Safety,",2,13
