,Quarter,Tm,Detail,ATL,DET
0,1.0,Falcons,Nick Mike-Mayer 48 yard field goal,3,0
1,1.0,Lions,Larry Walton 57 yard rush (Errol Mann kick),3,7
2,2.0,Lions,Altie Taylor 10 yard rush (Errol Mann kick),3,14
3,2.0,Lions,Mel Farr 32 yard rush (Errol Mann kick),3,21
4,3.0,Falcons,Nick Mike-Mayer 27 yard field goal,6,21
5,3.0,Lions,Errol Mann 20 yard field goal,6,24
6,4.0,Lions,Ron Jessie 9 yard rush (Errol Mann kick),6,31
